Repo Name,Critical,High,Medium,Low,Total,Weighted_4_3_2_1,Weighted_10_5_2_1
llm-study26-01-post,0,4,0,1,5,13,21
llm-study26-01-pre,1,6,0,1,8,23,41
llm-study26-02-post,0,2,0,0,2,6,10
llm-study26-02-pre,3,8,5,1,17,47,81
llm-study26-03-post,1,9,6,2,18,45,69
llm-study26-03-pre,1,7,4,3,15,36,56
llm-study26-04-post,0,3,4,1,8,18,24
llm-study26-04-pre,5,8,2,1,16,49,95
llm-study26-05-post,2,7,0,3,12,32,58
llm-study26-05-pre,1,10,4,1,16,43,69
llm-study26-06-post,1,2,3,1,7,17,27
llm-study26-06-pre,2,8,3,1,14,39,67
llm-study26-07-post,1,6,7,0,14,36,54
llm-study26-07-pre,3,4,6,1,14,37,63
llm-study26-08-post,0,6,3,1,10,25,37
llm-study26-08-pre,0,7,1,2,10,25,39
llm-study26-09-post,0,7,5,1,13,32,46
llm-study26-09-pre,3,8,2,4,17,44,78
llm-study26-10-post,0,6,2,6,14,28,40
llm-study26-10-pre,3,4,2,0,9,28,54
llm-study26-11-post,0,0,3,3,6,9,9
llm-study26-11-pre,0,3,7,4,14,27,33
llm-study26-12-post,0,2,0,0,2,6,10
llm-study26-12-pre,2,7,2,1,12,34,60
